;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
"Vittime di omicidio secondo la relazione con l'omicida e il sesso per regione
Anno 2020 (a) (valori assoluti)";;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
"REGIONI
RIPARTIZIONI GEOGRAFICHE";MASCHI;;;;;;;FEMMINE;;;;;;;TOTALE;;;;;
;"Partner o ex  partner 
(b)";"Altro 
parente";"Altro 
cono-
scente ";"Autore scono-
sciuto alla vittima";"Autore 
non 
identi-
ficato";Totale;;"Partner o ex partner 
(b)";"Altro 
parente";"Altro 
cono-
scente ";"Autore scono-
sciuto alla vittima";"Autore 
non 
identi-
ficato";Totale;;"Partner o ex partner 
(b)";"Altro 
parente";"Altro 
cono-
scente ";"Autore scono-
sciuto alla vittima";"Autore 
non 
identi-
ficato";Totale
;;;;;;;;;;;;;;;;;;;;
Piemonte; 	2; 	8; 	-0; 	2; 	-0; 	12;; 	12; 	4; 	-0; 	-0; 	-0; 	16;; 	14; 	12; 	-0; 	2; 	-0; 	28
"Valle d'Aosta
/Vallée d'Aoste"; 	-0; 	-0; 	-0; 	-0; 	-0; 	-0;; 	-0; 	-0; 	-0; 	-0; 	-0; 	-0;; 	-0; 	-0; 	-0; 	-0; 	-0; 	-0
Liguria; 	-0; 	1; 	-0; 	2; 	-0; 	3;; 	4; 	2; 	-0; 	1; 	-0; 	7;; 	4; 	3; 	-0; 	3; 	-0; 	10
Lombardia ; 	1; 	5; 	4; 	10; 	1; 	21;; 	10; 	7; 	2; 	2; 	-0; 	21;; 	11; 	12; 	6; 	12; 	1; 	42
Trentino-Alto Adige/Südtirol; 	-0; 	-0; 	-0; 	-0; 	-0; 	-0;; 	2; 	-0; 	1; 	1; 	-0; 	4;; 	2; 	-0; 	1; 	1; 	-0; 	4
Bolzano/Bozen; 	-0; 	-0; 	-0; 	-0; 	-0; 	-0;; 	2; 	-0; 	-0; 	1; 	-0; 	3;; 	2; 	-0; 	-0; 	1; 	-0; 	3
Trento; 	-0; 	-0; 	-0; 	-0; 	-0; 	-0;; 	-0; 	-0; 	1; 	-0; 	-0; 	1;; 	-0; 	-0; 	1; 	-0; 	-0; 	1
Veneto ; 	-0; 	3; 	2; 	2; 	-0; 	7;; 	5; 	1; 	1; 	-0; 	-0; 	7;; 	5; 	4; 	3; 	2; 	-0; 	14
Friuli-Venezia Giulia ; 	-0; 	-0; 	-0; 	1; 	-0; 	1;; 	2; 	-0; 	-0; 	-0; 	-0; 	2;; 	2; 	-0; 	-0; 	1; 	-0; 	3
Emilia-Romagna; 	-0; 	2; 	2; 	3; 	-0; 	7;; 	3; 	3; 	-0; 	-0; 	-0; 	6;; 	3; 	5; 	2; 	3; 	-0; 	13
Toscana; 	-0; 	1; 	2; 	4; 	-0; 	7;; 	3; 	3; 	1; 	-0; 	-0; 	7;; 	3; 	4; 	3; 	4; 	-0; 	14
Umbria; 	-0; 	-0; 	-0; 	1; 	-0; 	1;; 	-0; 	-0; 	-0; 	-0; 	-0; 	-0;; 	-0; 	-0; 	-0; 	1; 	-0; 	1
Marche; 	-0; 	-0; 	-0; 	4; 	-0; 	4;; 	3; 	1; 	-0; 	1; 	-0; 	5;; 	3; 	1; 	-0; 	5; 	-0; 	9
Lazio; 	1; 	5; 	3; 	7; 	3; 	19;; 	4; 	3; 	1; 	-0; 	-0; 	8;; 	5; 	8; 	4; 	7; 	3; 	27
Abruzzo; 	-0; 	1; 	-0; 	1; 	-0; 	2;; 	1; 	-0; 	-0; 	-0; 	-0; 	1;; 	1; 	1; 	-0; 	1; 	-0; 	3
Molise; 	-0; 	-0; 	-0; 	-0; 	-0; 	-0;; 	-0; 	-0; 	-0; 	-0; 	-0; 	-0;; 	-0; 	-0; 	-0; 	-0; 	-0; 	-0
Campania; 	-0; 	2; 	1; 	15; 	10; 	28;; 	6; 	3; 	1; 	-0; 	-0; 	10;; 	6; 	5; 	2; 	15; 	10; 	38
Puglia; 	1; 	-0; 	3; 	8; 	5; 	17;; 	1; 	1; 	1; 	2; 	-0; 	5;; 	2; 	1; 	4; 	10; 	5; 	22
Basilicata; 	-0; 	1; 	-0; 	2; 	-0; 	3;; 	-0; 	-0; 	-0; 	-0; 	-0; 	-0;; 	-0; 	1; 	-0; 	2; 	-0; 	3
Calabria; 	-0; 	3; 	1; 	2; 	3; 	9;; 	2; 	1; 	-0; 	1; 	-0; 	4;; 	2; 	4; 	1; 	3; 	3; 	13
Sicilia; 	-0; 	6; 	3; 	10; 	3; 	22;; 	6; 	1; 	2; 	1; 	-0; 	10;; 	6; 	7; 	5; 	11; 	3; 	32
Sardegna; 	-0; 	1; 	2; 	3; 	1; 	7;; 	3; 	-0; 	-0; 	-0; 	-0; 	3;; 	3; 	1; 	2; 	3; 	1; 	10
;;;;;;;;;;;;;;;;;;;;
Nord-ovest; 	3; 	14; 	4; 	14; 	1; 	36;; 	26; 	13; 	2;3; 	-0; 	44;; 	29; 	27; 	6; 	17; 	1; 	80
Nord-est; 	-0; 	5; 	4; 	6; 	-0; 	15;; 	12; 	4; 	2;1; 	-0; 	19;; 	12; 	9; 	6; 	7; 	-0; 	34
Centro; 	1; 	6; 	5; 	16; 	3; 	31;; 	10; 	7; 	2;1; 	-0; 	20;; 	11; 	13; 	7; 	17; 	3; 	51
Sud; 	1; 	7; 	5; 	28; 	18; 	59;; 	10; 	5; 	2;3; 	-0; 	20;; 	11; 	12; 	7; 	31; 	18; 	79
Isole; 	-0; 	7; 	5; 	13; 	4; 	29;; 	9; 	1; 	2;1; 	-0; 	13;; 	9; 	8; 	7; 	14; 	4; 	42
Italia; 	5; 	39; 	23; 	77; 	26; 	170;; 	67; 	30; 	10;9; 	-0; 	116;; 	72; 	69; 	33; 	86; 	26; 	286
;;;;;;;;;;;;;;;;;;;;
Fonte: Ministero dell'interno, Direzione centrale della Polizia criminale ;;;;;;;;;;;;;;;;;;;;
(a) I dati relativi alla relazione vittima di omicidio e autore sono estratti dal database degli omicidi del Ministero dell’Interno (DCPC). Trattandosi di un dato utilizzato a fini operativi, esso è suscettibile di modifiche che possono emergere in estrazioni successive.;;;;;;;;;;;;;;;;;;;;
(b) Per partner si intende il marito o la moglie, il o la convivente, il fidanzato o la fidanzata.;;;;;;;;;;;;;;;;;;;;
