;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
"Vittime di omicidio secondo la relazione con l'omicida - Femmine 
Anni 2002-2020 (a) (valori assoluti, quozienti per 100.000 abitanti femmine e composizioni percentuali)";;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
RELAZIONE DELLA VITTIMA CON L'OMICIDA;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;VALORI ASSOLUTI;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
Partner (marito, convivente, fidanzato/a); 	72; 	79; 	68; 	51; 	90; 	62; 	58; 	72; 	45; 	69; 	57; 	60; 	69; 	61; 	59; 	44; 	63; 	55; 	60;;;;
Ex partner (ex marito, ex convivente, ex-fidanzato/a); 	-0; 	-0; 	4; 	3; 	1; 	2; 	8; 	11; 	17; 	13; 	17; 	16; 	12; 	9; 	17; 	10; 	10; 	13; 	7;;;;
Altro parente; 	26; 	24; 	40; 	24; 	30; 	33; 	40; 	37; 	37; 	30; 	32; 	41; 	33; 	36; 	33; 	35; 	33; 	25; 	30;;;;
Altro conoscente ; 	-0; 	-0; 	7; 	9; 	9; 	5; 	5; 	17; 	27; 	23; 	16; 	21; 	13; 	11; 	9; 	10; 	2; 	5; 	10;;;;
Autore sconosciuto alla vittima; 	72; 	68; 	43; 	30; 	34; 	32; 	23; 	18; 	21; 	20; 	24; 	21; 	11; 	18; 	21; 	8; 	16; 	12; 	9;;;;
Autore non identificato; 	17; 	21; 	24; 	15; 	17; 	16; 	15; 	17; 	11; 	15; 	14; 	20; 	10; 	6; 	10; 	16; 	9; 	1; 	-0;;;;
Totale; 	187; 	192; 	186; 	132; 	181; 	150; 	149; 	172; 	158; 	170; 	160; 	179; 	148; 	141; 	149; 	123; 	133; 	111; 	116;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;QUOZIENTI PER 100.000 ABITANTI FEMMINE (b);;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
Partner (moglie, convivente, fidanzato/a); 	0,24; 	0,27; 	0,23; 	0,17; 	0,30; 	0,21; 	0,19; 	0,24; 	0,15; 	0,23; 	0,19; 	0,19; 	0,22; 	0,20; 	0,19; 	0,14; 	0,20; 	0,18; 	0,20;;;;
Ex partner (ex moglie, ex convivente, ex fidanzato/a); 	-0; 	-0; 	0,01; 	0,01; 	0,00; 	0,01; 	0,03; 	0,04; 	0,06; 	0,04; 	0,06; 	0,05; 	0,04; 	0,03; 	0,05; 	0,03; 	0,03; 	0,04; 	0,02;;;;
Altro parente; 	0,09; 	0,08; 	0,13; 	0,08; 	0,10; 	0,11; 	0,13; 	0,12; 	0,12; 	0,10; 	0,10; 	0,13; 	0,11; 	0,12; 	0,11; 	0,11; 	0,11; 	0,08; 	0,10;;;;
Altro conoscente ; 	-0; 	-0; 	0,02; 	0,03; 	0,03; 	0,02; 	0,02; 	0,06; 	0,09; 	0,08; 	0,05; 	0,07; 	0,04; 	0,04; 	0,03; 	0,03; 	0,01; 	0,02; 	0,03;;;;
Autore sconosciuto alla vittima; 	0,24; 	0,23; 	0,14; 	0,10; 	0,11; 	0,11; 	0,08; 	0,06; 	0,07; 	0,07; 	0,08; 	0,07; 	0,04; 	0,06; 	0,07; 	0,03; 	0,05; 	0,04; 	0,03;;;;
Autore non identificato; 	0,06; 	0,07; 	0,08; 	0,05; 	0,06; 	0,05; 	0,05; 	0,06; 	0,04; 	0,05; 	0,05; 	0,06; 	0,03; 	0,02; 	0,03; 	0,05; 	0,03; 	0,00; 	-0;;;;
Totale; 	0,64; 	0,65; 	0,63; 	0,44; 	0,60; 	0,50; 	0,49; 	0,56; 	0,52; 	0,55; 	0,52; 	0,58; 	0,47; 	0,45; 	0,48; 	0,40; 	0,43; 	0,36; 	0,38;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;COMPOSIZIONI PERCENTUALI;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
Partner (marito, convivente, fidanzato/a); 	38,5; 	41,1; 	36,6; 	38,6; 	49,7; 	41,3; 	38,9; 	41,9; 	28,5; 	40,6; 	35,6; 	33,5; 	46,6; 	43,3; 	39,6; 	35,8; 	47,4; 	49,5; 	51,7;;;;
Ex partner (ex marito, ex convivente, ex-fidanzato/a); 	-0; 	-0; 	2,2; 	2,3; 	0,6; 	1,3; 	5,4; 	6,4; 	10,8; 	7,6; 	10,6; 	8,9; 	8,1; 	6,4; 	11,4; 	8,1; 	7,5; 	11,7; 	6,0;;;;
Altro parente; 	13,9; 	12,5; 	21,5; 	18,2; 	16,6; 	22,0; 	26,8; 	21,5; 	23,4; 	17,6; 	20,0; 	22,9; 	22,3; 	25,5; 	22,1; 	28,5; 	24,8; 	22,5; 	25,9;;;;
Altro conoscente ; 	-0; 	-0; 	3,8; 	6,8; 	5,0; 	3,3; 	3,4; 	9,9; 	17,1; 	13,5; 	10,0; 	11,7; 	8,8; 	7,8; 	6,0; 	8,1; 	1,5; 	4,5; 	8,6;;;;
Autore sconosciuto alla vittima; 	38,5; 	35,4; 	23,1; 	22,7; 	18,8; 	21,3; 	15,4; 	10,5; 	13,3; 	11,8; 	15,0; 	11,7; 	7,4; 	12,8; 	14,1; 	6,5; 	12,0; 	10,8; 	7,8;;;;
Autore non identificato; 	9,1; 	10,9; 	12,9; 	11,4; 	9,4; 	10,7; 	10,1; 	9,9; 	7,0; 	8,8; 	8,8; 	11,2; 	6,8; 	4,3; 	6,7; 	13,0; 	6,8; 	0,9; 	-0;;;;
Totale; 	100,0; 	100,0; 	100,0; 	100,0; 	100,0; 	100,0; 	100,0; 	100,0; 	100,0; 	100,0; 	100,0; 	100,0; 	100,0; 	100,0; 	100,0; 	100,0; 	100,0; 	100,0; 	100,0;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
Fonte: Istat, Ministero dell'interno;;;;;;;;;;;;;;;;;;;;;;;
(a) I dati relativi alla relazione vittima di omicidio e autore sono estratti dal database degli omicidi del Ministero dell’Interno (DCPC). Trattandosi di un dato utilizzato a fini operativi, esso è suscettibile di modifiche che possono emergere in estrazioni successive.;;;;;;;;;;;;;;;;;;;;;;;
(b) Non essendo ancora disponibile  la ricostruzione intercensuaria della popolazione residente, i quozienti degli anni dal 2011 al 2018 sono soggetti a successivo ricalcolo.;;;;;;;;;;;;;;;;;;;;;;;